Polling Firm,Fieldwork Start,Fieldwork End,Period Estimated,Variant,Sample Size,Participation,HLAS - SD,SMER - SSD,SaS,PS,PS-SPOLU,OĽaNO,KDH,SR,REPUBLIKA,SNS,ALIANCIA,SMK-MKP,MOST - HÍD,ZĽ,ĽSNS,DVaU,SPOLU/MK,Demokrati,MF,Jablko,Modrí,#SIEŤ/SKS,Source
NMS,2025-04-02,2025-04-06,FALSE,Potential,1005,,0.127,0.2180,0.1150,0.2750,,0.0890,0.1010,0.0630,0.1160,0.0440,0.0480,,,0.0430,0.0200,,,0.0830,,,,,https://nms.global/sk/volebny-model-april-2025-kym-vlada-riesi-viacero-kriz-mimoparlamentna-opozicia-rastie/
NMS,2025-04-02,2025-04-06,FALSE,Core,1005,,0.031,0.1420,0.0240,0.1310,,0.0400,0.0320,0.0130,0.0550,,0.0270,,,0.0100,,,,0.0260,,,,,https://nms.global/sk/volebny-model-april-2025-kym-vlada-riesi-viacero-kriz-mimoparlamentna-opozicia-rastie/
IPSOS,2025-03-10,2025-03-14,FALSE,Potential,1032,727,0.290,0.3180,0.1990,0.3100,,0.0950,0.1280,0.0550,0.1500,0.0660,0.0530,,,,,,,0.1470,,,,,https://flo.uri.sh/visualisation/22121128/embed
IPSOS,2025-03-10,2025-03-14,FALSE,Core,1032,727,0.049,0.1360,0.0270,0.1120,,0.0390,0.0340,0.0070,0.0290,0.0020,0.0200,,,,,,,0.0260,,,,,https://flo.uri.sh/visualisation/22121128/embed
NMS,2025-03-05,2025-03-09,FALSE,Potential,1001,,0.132,0.2380,0.1080,0.2910,,0.0900,0.0990,0.0570,0.1190,0.0440,0.0490,,,0.0470,0.0150,,,0.0830,,,,,https://nms.global/sk/volebny-model-marec-2025-hlas-straca-volicov-najcastejsie-idu-k-smeru-a-medzi-nerozhodnutych/
NMS,2025-03-05,2025-03-09,FALSE,Core,1001,,0.042,0.1430,0.0220,0.1330,,0.0370,0.0280,0.0130,0.0440,,0.0270,,,0.0080,,,,0.0130,,,,,https://nms.global/sk/volebny-model-marec-2025-hlas-straca-volicov-najcastejsie-idu-k-smeru-a-medzi-nerozhodnutych/
NMS,2025-02-05,2025-02-09,FALSE,Potential,1001,,0.144,0.2490,0.1030,0.3000,,0.0790,0.1040,0.0720,0.0940,0.0340,0.0400,,,0.0400,,,,0.0780,,,,,https://nms.global/sk/volebny-model-februar-2025-premier-okrem-rozpoctu-konsoliduje-aj-preferencie-svojej-strany/
NMS,2025-02-05,2025-02-09,FALSE,Core,1001,,0.053,0.1620,0.0180,0.1410,,0.0380,0.0290,0.0150,0.0390,,0.0210,,,0.0090,,,,0.0090,,,,,https://nms.global/sk/volebny-model-februar-2025-premier-okrem-rozpoctu-konsoliduje-aj-preferencie-svojej-strany/
IPSOS,2025-01-13,2025-01-17,FALSE,Potential,1031,,0.238,0.3160,0.1940,0.3140,,0.0840,0.1300,0.0690,0.1660,0.0710,0.0600,,,,,,,0.1400,,,,,https://flo.uri.sh/visualisation/21233451/embed
IPSOS,2025-01-13,2025-01-17,FALSE,Core,1031,,0.051,0.1440,0.0250,0.1200,,0.0240,0.0290,0.0060,0.0210,0.0140,0.0230,,,,,,,0.0170,,,,,https://flo.uri.sh/visualisation/21233451/embed
NMS,2025-01-09,2025-01-13,FALSE,Potential,1001,,0.164,0.2070,0.1060,0.2970,,0.0830,0.0970,0.0590,0.1090,0.0410,0.0440,,,0.0440,0.0230,,,0.0850,,,,,https://nms.global/sk/volebny-model-januar-2025-sucasna-koalicia-by-vladu-nezlozila-nepomohli-by-ani-hlasy-z-republiky/
NMS,2025-01-09,2025-01-13,FALSE,Core,1001,,0.052,0.1340,0.0220,0.1370,,0.0380,0.0250,0.0180,0.0460,0.0060,0.0180,,,0.0120,0.0090,,,0.0140,,,,,https://nms.global/sk/volebny-model-januar-2025-sucasna-koalicia-by-vladu-nezlozila-nepomohli-by-ani-hlasy-z-republiky/
NMS,2024-12-04,2024-12-09,FALSE,Potential,1000,,0.159,0.2230,0.0940,0.2890,,0.0860,0.0850,0.0690,0.1190,0.0450,0.0430,,,0.0550,0.0240,,,0.0740,,,,,https://nms.global/sk/volebny-model-december-2024-zmeny-sa-deju-na-5-hranici/
NMS,2024-12-04,2024-12-09,FALSE,Core,1000,,0.048,0.1320,0.0200,0.1360,,0.0390,0.0180,0.0120,0.0470,0.0110,0.0190,,,0.0140,0.0060,,,0.0110,,,,,https://nms.global/sk/volebny-model-december-2024-zmeny-sa-deju-na-5-hranici/
NMS,2024-11-07,2024-11-11,FALSE,Potential,1000,,0.156,0.2260,0.1130,0.2950,,0.0610,0.0950,0.0740,0.1140,0.0530,0.0540,,,,0.0200,,,0.0820,,,,,https://nms.global/sk/volebny-model-november-2024-ps-rastie-smer-klesa-napriek-tomu-by-progresivci-vyskladali-vladu-len-tazko/
NMS,2024-11-07,2024-11-11,FALSE,Core,1000,,0.053,0.1280,0.0180,0.1470,,0.0320,0.0290,0.0150,0.0440,0.0140,0.0230,,,,,,,0.0130,,,,,https://nms.global/sk/volebny-model-november-2024-ps-rastie-smer-klesa-napriek-tomu-by-progresivci-vyskladali-vladu-len-tazko/
IPSOS,2024-10-27,2024-11-01,FALSE,Potential,1003,668,0.288,0.3170,0.1690,0.3150,,0.0600,0.1200,0.0690,0.1770,0.0550,0.0630,,,,,,,0.1430,,,,,https://flo.uri.sh/visualisation/20145958/embed
IPSOS,2024-10-27,2024-11-01,FALSE,Core,1003,668,0.051,0.1410,0.0190,0.1420,,0.0250,0.0410,0.0110,0.0260,0.0110,0.0150,,,,,,,0.0180,,,,,https://flo.uri.sh/visualisation/20145958/embed
NMS,2024-10-02,2024-10-07,FALSE,Potential,1000,,0.164,0.2330,0.1080,0.2830,,0.0710,0.0940,0.0710,0.1070,0.0490,0.0460,,,,0.0230,,,0.0850,,,,,https://nms.global/sk/volebny-model-oktober-2024-konsolidacny-balicek-meni-preferencie-volicov/
NMS,2024-10-02,2024-10-07,FALSE,Core,1000,,0.062,0.1360,0.0220,0.1570,,0.0310,0.0320,0.0160,0.0400,0.0080,0.0230,,,,0.0080,,,0.0190,,,,,https://nms.global/sk/volebny-model-oktober-2024-konsolidacny-balicek-meni-preferencie-volicov/
IPSOS,2024-09-06,2024-09-10,FALSE,Potential,1025,650,0.322,0.3470,0.2120,0.3040,,0.0910,0.1190,0.0660,0.1460,0.0930,0.0670,,,,,,,0.1400,,,,,https://flo.uri.sh/visualisation/19376408/embed
IPSOS,2024-09-06,2024-09-10,FALSE,Core,1025,650,0.061,0.1720,0.0230,0.1270,,0.0290,0.0230,0.0030,0.0240,0.0210,0.0340,,,,,,,0.0230,,,,,https://flo.uri.sh/visualisation/19376408/embed
NMS,2024-09-05,2024-09-09,FALSE,Potential,1001,,0.183,0.2730,0.1030,0.2760,,0.0510,0.0830,0.0610,0.0930,0.0620,0.0440,,,,0.0210,,,0.0770,,,,,https://nms.global/sk/volebny-model-september-2024-ps-aj-smer-si-upevnuju-svoju-poziciu-lidrov/
NMS,2024-09-05,2024-09-09,FALSE,Core,1001,,0.072,0.1670,0.0260,0.1590,,0.0250,0.0320,0.0170,0.0310,0.0100,0.0190,,,,,,,0.0130,,,,,https://nms.global/sk/volebny-model-september-2024-ps-aj-smer-si-upevnuju-svoju-poziciu-lidrov/
MEDIAN SK,2024-08-01,2024-08-31,FALSE,Potential,1129,656,0.207,0.2530,0.1300,0.2630,,0.0910,0.1110,0.0650,0.0510,0.0630,0.0420,,,,0.0310,,,0.0280,,,,,https://www.median.sk/pdf/OSTATNE/4624500_PAT08_Volebny_model_v03.pdf
MEDIAN SK,2024-08-01,2024-08-31,FALSE,Core,1129,656,0.117,0.1760,0.0370,0.1450,,0.0360,0.0580,0.0110,0.0220,0.0210,0.0340,,,,0.0100,,,0.0120,,,,,https://www.median.sk/pdf/OSTATNE/4624500_PAT08_Volebny_model_v03.pdf
NMS,2024-08-08,2024-08-12,FALSE,Potential,1044,,0.181,0.2550,0.1170,0.2660,,0.0650,0.0840,0.0510,0.1010,0.0540,0.0410,,,,0.0190,,,0.0840,,,,,https://nms.global/sk/stranicky-volebny-model-august-2024-preferencie-ostavaju-stabilne/
NMS,2024-08-08,2024-08-12,FALSE,Core,1044,,0.077,0.1570,0.0200,0.1380,,0.0240,0.0260,,0.0320,0.0160,0.0150,,,,,,,0.0150,,,,,https://nms.global/sk/stranicky-volebny-model-august-2024-preferencie-ostavaju-stabilne/
NMS,2024-07-04,2024-07-08,FALSE,Potential,1020,,0.194,0.2660,0.0930,0.2780,,0.0540,0.0960,0.0620,0.1090,0.0720,0.0410,,,,0.0260,,,0.0820,,,,,https://nms.global/sk/stranicky-volebny-model-jul-2024-o-prvenstvo-bojuje-ps-a-smer/
NMS,2024-07-04,2024-07-08,FALSE,Core,1020,,0.070,0.1590,0.0210,0.1490,,0.0260,0.0280,0.0100,0.0360,0.0220,0.0210,,,,,,,0.0180,,,,,https://nms.global/sk/stranicky-volebny-model-jul-2024-o-prvenstvo-bojuje-ps-a-smer/
IPSOS,2024-06-26,2024-07-01,FALSE,Potential,1017,,0.343,0.3780,0.1760,0.3130,,0.0860,0.1200,,0.1420,0.0900,0.0710,,,,,,,0.1560,,,,,https://flo.uri.sh/visualisation/18589151/embed
IPSOS,2024-06-26,2024-07-01,FALSE,Core,1017,,0.068,0.1600,0.0300,0.1340,,0.0230,0.0340,,0.0280,0.0090,0.0080,,,,,,,0.0240,,,,,https://flo.uri.sh/visualisation/18589151/embed
NMS,2024-05-30,2024-06-03,FALSE,Potential,1020,,0.220,0.2790,0.0910,0.2690,,0.0560,0.0830,0.0520,0.1080,0.0630,0.0460,,,,,,,0.0720,,,,,https://nms.global/sk/stranicky-volebny-model-jun-2024-vo-volbach-by-zvitazilo-progresivne-slovensko/
NMS,2024-05-30,2024-06-03,FALSE,Core,1020,,0.078,0.1610,0.0290,0.1540,,0.0220,0.0220,0.0120,0.0360,0.0250,0.0200,,,,,,,0.0070,,,,,https://nms.global/sk/stranicky-volebny-model-jun-2024-vo-volbach-by-zvitazilo-progresivne-slovensko/
IPSOS,2024-05-14,2024-05-21,FALSE,Potential,1139,,0.314,0.3650,0.2010,0.3020,,0.1020,0.1110,0.0720,0.1270,0.0960,0.0670,,,,,,,0.1140,,,,,https://flo.uri.sh/visualisation/18064338/embed
IPSOS,2024-05-14,2024-05-21,FALSE,Core,1139,,0.066,0.1820,0.0390,0.1370,,0.0260,0.0470,0.0040,0.0250,0.0210,0.0150,,,,,,,0.0150,,,,,https://flo.uri.sh/visualisation/18064338/embed
NMS,2024-05-09,2024-05-13,FALSE,Potential,1020,,0.190,0.2450,0.1110,0.2700,,0.0810,0.0850,0.0640,0.0950,0.0580,0.0450,,,,,,,0.0750,,,,,https://nms.global/sk/stranicky-volebny-model-maj-2024/
NMS,2024-05-09,2024-05-13,FALSE,Core,1020,,0.083,0.1470,0.0310,0.1540,,0.0390,0.0200,0.0120,0.0500,0.0190,0.0190,,,,,,,0.0110,,,,,https://nms.global/sk/stranicky-volebny-model-maj-2024/
IPSOS,2024-02-16,2024-02-21,FALSE,Potential,1028,795,0.344,0.3320,0.1890,0.3090,,0.0950,0.1140,0.0830,0.1160,0.1070,0.0610,,,,,,,0.1140,,,,,https://dennikn.sk/3844970/ipsos-ps-sa-dotahuje-na-smer-a-zvacsuje-si-potencial-od-volieb-posilnil-aj-hlas/?ref=mwat
IPSOS,2024-02-16,2024-02-21,FALSE,Core,1028,795,0.097,0.1640,0.0390,0.1520,,0.0370,0.0400,0.0110,0.0300,0.0250,0.0230,,,,,,,0.0080,,,,,https://dennikn.sk/3844970/ipsos-ps-sa-dotahuje-na-smer-a-zvacsuje-si-potencial-od-volieb-posilnil-aj-hlas/?ref=mwat
NMS,2024-04-18,2024-04-21,FALSE,Potential,1010,,0.185,0.2310,0.1160,0.2910,,0.0680,0.0780,0.0690,0.0890,0.0710,0.0420,,,,,,,0.0720,,,,,https://nms.global/sk/stranicky-volebny-model-maj-2024/
NMS,2024-04-18,2024-04-21,FALSE,Core,1010,,0.073,0.1540,0.0190,0.1390,,0.0320,0.0250,0.0140,0.0320,0.0140,0.0150,,,,,,,0.0070,,,,,https://nms.global/sk/stranicky-volebny-model-maj-2024/
IPSOS,2024-03-16,2024-03-19,FALSE,Potential,1009,,0.320,0.3390,0.1980,0.2940,,0.1110,0.1090,0.0620,0.1220,0.1000,0.0630,,,,,,,0.1070,,,,,https://flo.uri.sh/visualisation/17238958/embed
IPSOS,2024-03-16,2024-03-19,FALSE,Core,1009,,0.074,0.1490,0.0260,0.1200,,0.0230,0.0230,0.0060,0.0150,0.0180,0.0170,,,,,,,0.0100,,,,,https://flo.uri.sh/visualisation/17238958/embed
IPSOS,2024-03-12,2024-03-16,FALSE,Potential,1038,,0.331,0.3360,0.1690,0.2900,,0.0970,0.1110,0.0720,0.1300,0.1040,0.0550,,,,,,,0.1030,,,,,https://flo.uri.sh/visualisation/17193160/embed
IPSOS,2024-03-12,2024-03-16,FALSE,Core,1038,,0.081,0.1440,0.0330,0.1170,,0.0310,0.0260,0.0080,0.0210,0.0170,0.0190,,,,,,,0.0100,,,,,https://flo.uri.sh/visualisation/17193160/embed
NMS,2024-03-13,2024-03-18,FALSE,Potential,1030,,0.183,0.2500,0.0910,0.2480,,0.0600,0.0850,0.0650,0.0840,0.0540,0.0390,,,,0.0250,,,0.0590,,,,,https://nms.global/sk/stranicky-volebny-model-maj-2024/
NMS,2024-03-13,2024-03-18,FALSE,Core,1030,,0.087,0.1790,0.0290,0.1520,,0.0270,0.0250,0.0100,0.0400,0.0180,0.0200,,,,0.0120,,,0.0100,,,,,https://nms.global/sk/stranicky-volebny-model-maj-2024/
IPSOS,2024-02-16,2024-02-21,FALSE,Potential,1028,,0.344,0.3320,0.1890,0.3090,,0.0950,0.1140,0.0830,0.1160,0.1070,0.0610,,,,,,,0.1140,,,,,https://flo.uri.sh/visualisation/16900611/embed
IPSOS,2024-02-16,2024-02-21,FALSE,Core,1028,,0.097,0.1640,0.0390,0.1520,,0.0370,0.0400,0.0110,0.0300,0.0250,0.0230,,,,,,,0.0080,,,,,https://flo.uri.sh/visualisation/16900611/embed
NMS,2024-02-14,2024-02-18,FALSE,Potential,1022,,0.216,0.2390,0.0990,0.2560,,0.0780,0.0990,0.0550,0.0700,0.0590,0.0430,,,,0.0250,,,0.0560,,,,,https://nms.global/sk/stranicky-volebny-model-februar-2024/
NMS,2024-02-14,2024-02-18,FALSE,Core,1022,,0.098,0.1550,0.0210,0.1510,,0.0310,0.0260,0.0100,0.0420,0.0220,0.0200,,,,0.0070,,,0.0060,,,,,https://nms.global/sk/stranicky-volebny-model-februar-2024/
IPSOS,2024-01-22,2024-01-25,FALSE,Potential,1022,,0.331,0.3670,0.2060,0.2860,,0.0920,0.1130,0.0600,0.1220,0.1110,0.0510,,,,,,,0.0940,,,,,https://flo.uri.sh/visualisation/16611708/embed
IPSOS,2024-01-22,2024-01-25,FALSE,Core,1022,,0.097,0.1850,0.0310,0.1450,,0.0320,0.0410,0.0080,0.0300,0.0140,0.0260,,,,,,,0.0130,,,,,https://flo.uri.sh/visualisation/16611708/embed
NMS,2024-01-10,2024-01-14,FALSE,Potential,1030,,0.193,0.2620,0.1200,0.2470,,0.0790,0.0950,0.0650,0.0980,0.0690,0.0430,,,,,,,0.0710,,,,,https://nms.global/sk/stranicky-volebny-model-januar-2024/
NMS,2024-01-10,2024-01-14,FALSE,Core,1030,,0.093,0.1510,0.0270,0.1310,,0.0310,0.0360,0.0140,0.0350,0.0190,0.0220,,,,,,,0.0120,,,,,https://nms.global/sk/stranicky-volebny-model-januar-2024/
IPSOS,2023-12-13,2023-12-18,FALSE,Potential,1048,,0.318,0.3470,0.1900,0.3070,,0.1050,0.1060,0.0700,0.1380,0.1450,0.0600,,,,,,,0.1140,,,,,https://flo.uri.sh/visualisation/16206044/embed
IPSOS,2023-12-13,2023-12-18,FALSE,Core,1048,,0.093,0.1960,0.0350,0.1240,,0.0370,0.0420,0.0100,0.0310,0.0190,0.0270,,,,,,,0.0120,,,,,https://flo.uri.sh/visualisation/16206044/embed
NMS,2023-11-30,2023-12-03,FALSE,Potential,1000,,0.191,0.2760,0.1030,0.2340,,0.1080,0.0940,0.0570,0.0870,0.0780,0.0530,,,,,,,0.0500,,,,,https://nms.global/sk/stranicky-volebny-model-januar-2024/
NMS,2023-11-30,2023-12-03,FALSE,Core,1000,,0.074,0.1650,0.0250,0.1290,,0.0420,0.0340,0.0170,0.0330,0.0310,0.0220,,,,,,,0.0090,,,,,https://nms.global/sk/stranicky-volebny-model-januar-2024/
IPSOS,2023-11-02,2023-11-07,FALSE,Potential,1021,,0.317,0.3330,0.1720,0.2780,,0.1020,0.1070,0.0640,0.1470,0.1440,0.0630,,,,,,,0.1120,,,,,https://flo.uri.sh/visualisation/15694870/embed
IPSOS,2023-11-02,2023-11-07,FALSE,Core,1021,,0.079,0.1810,0.0360,0.1390,,0.0470,0.0280,0.0110,0.0340,0.0350,0.0200,,,,,,,0.0120,,,,,https://flo.uri.sh/visualisation/15694870/embed
IPSOS,2023-09-22,2023-09-25,FALSE,Potential,1000,,0.292,0.3190,0.1820,0.2970,,0.1150,0.1010,0.1110,0.1560,0.1480,0.0510,,,,,,,0.1220,,,,,https://flo.uri.sh/visualisation/15149373/embed
IPSOS,2023-09-22,2023-09-25,FALSE,Core,1000,,0.069,0.1480,0.0330,0.1280,,0.0570,0.0370,0.0120,0.0440,0.0370,0.0230,,,,,,,0.0110,,,,,https://flo.uri.sh/visualisation/15149373/embed
NMS,2023-09-21,2023-09-24,FALSE,Potential,1411,,0.158,0.2260,0.1030,0.2310,,0.1180,0.0790,0.0830,0.1130,0.0840,0.0380,,,,0.0290,,,0.0620,,,,,https://nms.global/sk/predvolebny-prieskum-september-2023-2-kolo/
NMS,2023-09-21,2023-09-24,FALSE,Core,1411,,0.053,0.1280,0.0220,0.1080,,0.0530,0.0270,0.0190,0.0530,0.0270,0.0220,,,,0.0090,,,0.0090,,,0.0060,,https://nms.global/sk/predvolebny-prieskum-september-2023-2-kolo/
NMS,2023-09-05,2023-09-10,FALSE,Potential,1410,,0.165,0.2520,0.0840,0.2120,,0.0860,0.0660,0.0860,0.1140,0.0950,0.0410,,,,,,,0.0820,,,,,https://nms.global/sk/predvolebny-prieskum-september-2023/
NMS,2023-09-05,2023-09-10,FALSE,Core,1410,,0.053,0.1400,0.0130,0.0860,,0.0350,0.0170,0.0190,0.0490,0.0300,0.0210,,,,0.0070,,,0.0090,,,,,https://nms.global/sk/predvolebny-prieskum-september-2023/
IPSOS,2023-08-10,2023-08-14,FALSE,Potential,1003,,0.240,0.3290,0.1650,0.2420,,0.1330,0.1010,0.1350,0.1600,0.1550,0.0510,,,,0.0490,,,0.1100,,,,,https://flo.uri.sh/visualisation/14759357/embed
IPSOS,2023-08-10,2023-08-14,FALSE,Core,1003,,0.084,0.1500,0.0130,0.1060,,0.0510,0.0350,0.0260,0.0540,0.0250,0.0260,,,,0.0180,,,0.0070,,,,,https://flo.uri.sh/visualisation/14759357/embed
NMS,2023-08-01,2023-08-07,FALSE,Potential,1416,,0.158,0.2670,0.0880,0.2050,,0.0780,0.0620,0.0860,0.1060,0.0900,0.0380,,,,0.0340,,,0.0580,,,0.0370,,https://nms.global/sk/predvolebny-prieskum-august-2023/
NMS,2023-08-01,2023-08-07,FALSE,Core,1416,,0.055,0.1590,0.0150,0.0810,,0.0340,0.0270,0.0250,0.0430,0.0310,0.0160,,,,0.0120,,,,,,0.0060,,https://nms.global/sk/predvolebny-prieskum-august-2023/
IPSOS,2023-07-26,2023-08-01,FALSE,Potential,1001,,0.255,0.3280,0.1520,0.2470,,0.1300,0.0970,0.1250,0.1940,0.1370,,,,,0.0550,,,0.1020,0.0270,,0.0420,,https://spravy.pravda.sk/domace/clanok/676963-prieskum-ipsosu-pre-pravdu-rast-smeru-a-rekordne-ps-matovicove-fiatky-zrejme-zaberaju-na-kollara-dolahla-kauza/?utm_source=pravda&utm_medium=hp-box&utm_campaign=shp_3clanok_box
IPSOS,2023-07-26,2023-08-01,FALSE,Core,1001,,0.083,0.1410,0.0270,0.1160,,0.0550,0.0290,0.0210,0.0600,0.0240,,,,,0.0150,,,0.0120,0.0000,,0.0050,,https://spravy.pravda.sk/domace/clanok/676963-prieskum-ipsosu-pre-pravdu-rast-smeru-a-rekordne-ps-matovicove-fiatky-zrejme-zaberaju-na-kollara-dolahla-kauza/?utm_source=pravda&utm_medium=hp-box&utm_campaign=shp_3clanok_box
MEDIAN SK,2023-07-21,2023-07-26,FALSE,Potential,1010,,0.274,0.3440,0.1890,0.3050,,0.1230,0.1550,0.2070,0.1640,0.1230,0.0430,,,,0.0540,,,0.1280,,,,,https://spravy.rtvs.sk/2023/08/hlas-prichadza-o-jadro-smeru-sa-vracaju-pevni-volici-ukazuje-volebny-model-median-sk/
MEDIAN SK,2023-07-21,2023-07-26,FALSE,Core,1010,,0.040,0.1420,0.0200,0.0710,,0.0230,0.0200,0.0120,0.0520,0.0160,0.0090,,,,0.0030,,,0.0020,,,,,https://spravy.rtvs.sk/2023/08/hlas-prichadza-o-jadro-smeru-sa-vracaju-pevni-volici-ukazuje-volebny-model-median-sk/
MEDIAN SK,2023-07-19,2023-07-21,FALSE,Potential,1008,,0.222,0.3070,0.1940,0.2990,,0.1170,0.1360,0.1620,0.1730,0.1150,,,,,0.0500,,,0.1350,,,0.0850,,https://www.median.sk/pdf/OSTATNE/Volebnymodel_Jul_v08.pdf
MEDIAN SK,2023-07-19,2023-07-21,FALSE,Core,1008,,0.023,0.1410,0.0100,0.0860,,0.0240,0.0180,0.0120,0.0530,0.0170,,,,,0.0070,,,0.0100,,,0.0040,,https://www.median.sk/pdf/OSTATNE/Volebnymodel_Jul_v08.pdf
IPSOS,2023-07-17,2023-07-21,FALSE,Potential,1005,,0.267,0.3220,0.1510,0.2330,,0.1100,0.0860,0.1410,0.1700,0.1490,0.0510,,,,0.0600,,,0.0800,,,,,https://flo.uri.sh/visualisation/14513341/embed
IPSOS,2023-07-17,2023-07-21,FALSE,Core,1005,,0.086,0.1400,0.0200,0.0940,,0.0440,0.0350,0.0300,0.0610,0.0280,0.0240,,,,0.0180,,,0.0060,,,,,https://flo.uri.sh/visualisation/14513341/embed
NMS,2023-07-04,2023-07-09,FALSE,Potential,1413,,0.149,0.2450,0.0870,0.1870,,0.0880,0.0750,0.0770,0.1300,0.0730,0.0400,,,,0.0390,,,0.0620,,,0.0330,,https://nms.global/sk/predvolebny-prieskum-jul-2023/
NMS,2023-07-04,2023-07-09,FALSE,Core,1413,,0.061,0.1420,0.0150,0.0690,,0.0430,0.0200,0.0200,0.0560,0.0210,0.0200,,,,0.0180,,,0.0090,,,0.0050,,https://nms.global/sk/predvolebny-prieskum-jul-2023/
MEDIAN SK,2023-05-15,2023-06-20,FALSE,Potential,1036,630,0.247,0.2770,0.1510,0.2170,,0.1510,0.1340,0.2050,0.1460,0.1290,,,,0.0930,0.0540,,,0.1310,,,,,https://www.median.sk/sk/wp-content/uploads/2023/06/4523500_PAT05_Volebny_model_v04.pdf
